song_key,file_stem,version_num,part,recording_date,duration_seconds,size_bytes,file_extension,is_wip,is_hidden_appledouble,filepath_anonymized
20220812 full set,20220812_full_set,,,,1987.871156462585,79517778,mp3,False,False,Sonica/audio/rehearsal archive/20220812 LIve at Convenients/20220812_full_set.mp3
20220824 full set,20220824_full_set,,,,1777.7427664399092,71112619,mp3,False,False,Sonica/audio/rehearsal archive/20220824_live_at_Convenients/20220824_full_set.mp3
20240601 full set,20240601_full_set,,,,,359397736,wav,False,False,Sonica/audio/rehearsal archive/20240601_Clancys_set/20240601_full_set.wav
20250129 full,20250129_full,,,20250129,,376262320,wav,False,False,Sonica/audio/rehearsal archive/20250129/20250129_full.wav
afternoon sun 20200613,Afternoon_Sun_20200613,,,20200613,205.9473015873016,8240064,mp3,False,False,Sonica/audio/rehearsal archive/20200613/Afternoon_Sun_20200613.mp3
afternoon sun 20200704,Afternoon_Sun_20200704,,,20200704,230.15108843537416,9208684,mp3,False,False,Sonica/audio/rehearsal archive/20200704/Afternoon_Sun_20200704.mp3
afternoon sun 20200725,Afternoon_Sun_20200725,,,20200725,251.8910657596372,10078040,mp3,False,False,Sonica/audio/rehearsal archive/20200725/Afternoon_Sun_20200725.mp3
afternoon sun 20200801,Afternoon_Sun_20200801,,,20200801,244.45968253968252,9781288,mp3,False,False,Sonica/audio/rehearsal archive/20200801/Afternoon_Sun_20200801.mp3
afternoon sun demo,Afternoon_Sun_DEMO,,,20200516,181.1330612244898,7246411,mp3,False,False,Sonica/audio/rehearsal archive/20200516/Afternoon_Sun_DEMO.mp3
afternoon sun demo,Afternoon_Sun_DEMO,,,20200523,181.1330612244898,7246411,mp3,False,False,Sonica/audio/rehearsal archive/20200523/Afternoon_Sun_DEMO.mp3
alan 02 20211006,Alan_02_20211006,,,,285.0243537414966,11404015,mp3,False,False,Sonica/audio/rehearsal archive/working/Alan_02_20211006.mp3
alan new 01 20210923,alan_new_01_20210923,,,20210923,239.8782993197279,9597386,mp3,False,False,Sonica/audio/rehearsal archive/20210923/alan_new_01_20210923.mp3
arialle alan,Arialle - Alan,,,,441.396375,10593617,mp3,False,False,Sonica/audio/rehearsal archive/working/Arialle - Alan.mp3
ballerina 20191214,Ballerina 20191214,,,20191214,274.5,10982921,mp3,False,False,Sonica/audio/rehearsal archive/20191214/Ballerina 20191214.mp3
ballerina 20200307,Ballerina_20200307_v1,1.0,,20200307,281.0117006802721,11243101,mp3,False,False,Sonica/audio/rehearsal archive/20200307/Ballerina_20200307_v1.mp3
ballerina instrumental 20200229,ballerina_instrumental_20200229,,,20200229,391.7322448979592,15671405,mp3,False,False,Sonica/audio/rehearsal archive/20200229/ballerina_instrumental_20200229.mp3
