song_key,recordings_count,first_recording_date,last_recording_date,distinct_versions,has_wip,total_duration_seconds,total_duration_hours
song 05,16,2019-02-09,2019-08-31,16,False,5759.404033333333,1.5998344537037037
song 03,13,2019-02-09,2019-06-29,13,False,2896.3846416666665,0.8045512893518518
song 04,12,2019-02-09,2019-06-08,10,True,3496.6692,0.971297
song 10,11,2019-02-23,2019-07-20,9,False,4190.887183333333,1.1641353287037037
song 11,11,2019-02-23,2019-07-20,9,False,3378.5687333333335,0.9384913148148148
song 07,10,2019-02-09,2019-08-31,9,False,3256.8711166666667,0.9046864212962963
song 09,10,2019-02-23,2019-06-08,10,False,3376.2699000000002,0.93785275
song 13,9,2019-03-16,2019-06-29,9,False,2432.1702999999998,0.675602861111111
song 15,9,2019-04-06,2019-06-08,9,True,2816.9130083333334,0.7824758356481482
song 14,8,2019-03-30,2019-06-08,8,False,1333.3569,0.37037691666666667
song 18,7,2019-04-27,2019-08-31,7,False,1655.4488916666667,0.4598469143518519
song 12,6,2019-03-16,2019-05-04,4,False,1796.4369,0.49901025
song 16,6,2019-04-13,2019-05-25,6,True,1593.1701,0.44254725
song 17,6,2019-04-27,2019-06-08,6,False,1178.3889,0.32733025
song 21,6,2019-05-04,2019-07-20,4,False,2057.210975,0.5714474930555555
places,5,2023-06-21,2025-02-11,0,False,305.47238095238095,0.08485343915343915
song 20,5,2019-05-04,2019-07-20,4,False,1555.9604749999999,0.4322112430555555
charmed,4,2025-01-14,2025-02-11,0,False,0.0,0.0
easy highs 20200314,4,2020-03-14,2020-03-14,4,False,938.8831065759637,0.26080086293776766
insane 20200314,4,2020-03-14,2020-03-14,4,False,1113.2872335600907,0.30924645376669185
ocean blue,4,2019-03-16,2019-04-27,2,False,750.4794,0.20846650000000003
descent into blue 20200307,3,2020-03-07,2020-03-07,3,False,881.9616326530612,0.2449893424036281
descent into blue 20200314,3,2020-03-14,2020-03-14,3,False,852.541156462585,0.23681698790627362
loved and lost 20200307,3,2020-03-07,2020-03-07,3,False,802.6742857142858,0.2229650793650794
mirror 20250114,3,2025-01-14,2025-03-19,0,False,0.0,0.0
never over 20200229,3,2020-02-29,2020-02-29,3,False,1002.1132426303855,0.2783647896195515
never over 20220330,3,2022-03-30,2022-03-30,0,False,1281.2263265306124,0.355896201814059
song 08,3,2019-02-09,2019-03-16,3,False,1570.1237999999998,0.43614549999999996
song 19,3,2019-05-04,2019-05-18,2,False,1853.5959,0.51488775
song 24,3,2019-05-18,2019-05-25,2,False,1358.1918,0.37727550000000004
song 25,3,2019-05-18,2019-05-25,2,False,967.7619,0.26882275
song 27,3,2019-06-08,2019-07-20,2,False,637.0472583333333,0.17695757175925925
afternoon sun demo,2,2020-05-16,2020-05-23,0,False,362.2661224489796,0.1006294784580499
bitch 20200314,2,2020-03-14,2020-03-14,2,False,576.5706122448979,0.16015850340136054
bitch 20230607,2,2023-06-07,2023-06-07,0,False,562.15505,0.15615418055555555
bitch mastered,2,,,0,False,281.4,0.07816666666666666
delusional 20230419,2,2023-04-19,2023-05-24,0,False,592.6138,0.16461494444444444
